Title,Month,Year,Author
An integrated framework for privacy protection in IoT — Applied to smart healthcare,May,2021,
hOCBS: A privacy-preserving blockchain framework for healthcare data leveraging an on-chain and off-chain system design,May,2021,
An End-to-End Authentication Scheme for Healthcare IoT Systems Using WMSN.,Mar,2021,"Nashwan, Shadi"
Blockchain-as-a-Utility for Next-Generation Healthcare Internet of Things.,Mar,2021,"Almagrabi, Alaa Omran; Ali, Rashid; Alghazzawi, Daniyal; AlBarakati, Abdullah; Khurshaid, Tahir"
Findings From a Process Evaluation of an Indigenous Holistic Housing Support and Mental Health Case Management Program in Downtown Toronto.,Mar,2021,"Firestone, Michelle; Syrette, Jessica; Brant, Teyohá:te; Laing, Marie; Teekens, Steve"
Secrecy-ensured NOMA-based cooperative D2D-aided fog computing under imperfect CSI,Mar,2021,Rajesh Gupta; Sudeep Tanwar; Neeraj Kumar
Security model for protecting intellectual property of state-of-the-art microfluidic biochips,Mar,2021,Debasis Gountia; Sudip Roy
A Bluetooth-Based Architecture for Contact Tracing in Healthcare Facilities,Jan,2021,Piergiuseppe Di Marco; Pangun Park; Marco Pratesi; Fortunato Santucci
Blockchain-based security & privacy for biomedical and healthcare information exchange systems,Jan,2021,
Elliptic Curve Cryptography based authentication scheme for Internet of Medical Things,Jan,2021,K. Sowjanya; Mou Dasgupta; Sangram Ray
ExpressionHash: Securing Telecare Medical Information Systems Using BioHashing.,Jan,2021,"Riaz, Ayesha; Riaz, Naveed; Mahmood, Awais; Khan, Sajid Ali; Mahmood, Imran; Almutiry, Omar; Dhahri, Habib"
Impact of Trust and Privacy Concerns on Technology Acceptance in Healthcare: An Indian Perspective,Jan,2021,"Soni, Mukesh; Singh, Dileep Kumar"
Robust Lightweight Privacy-Preserving and Session Scheme Interrogation for Fog Computing Systems,Jan,2021,B D Deebak; Fadi Al-Turjman
A Policy and Practice Review of Consumer Protections and Their Application to Hospital-Sourced Data Aggregation and Analytics by Third-Party Companies.,Feb,2021,
An enhanced scalable and secure RFID authentication protocol for WBAN within an IoT environment,Feb,2021,Sarah Izza; Mustapha Benssalah; Karim Drouiche
Blockchain-Enabled healthcare system for detection of diabetes,Feb,2021,
Integrity Assessment of Medical Devices for Improving Hospital Services.,Feb,2021,"Alzahrani, Fahad A; Ahmad, Masood; Nadeem, Mohd; Kumar, Rajeev; Khan, Raees Ahmad"
A secure medical image transmission scheme aided by quantum representation,Apr,2021,T. Janani; M. Brindha
Combining behavioral biometrics and session context analytics to enhance risk-based static authentication in web applications,Apr,2021,"Solano, Jesus; Camacho, Luis; Correa, Alejandro; Deiro, Claudio; Vargas, Javier; Ochoa, Martín"
An Optimized Integrated Framework of Big Data Analytics Managing Security and Privacy in Healthcare Data,,2021,"Ritu Chauhan, Harleen Kaur, Victor Chang"
Blockchain-Based Secure Healthcare Application for Diabetic-Cardio Disease Prediction in Fog Computing,,2021,Shynu PG; Varun Menon
"Internet of Things and Access Control - Sensing, Monitoring and Controlling Access in IoT-Enabled Healthcare Systems",,2021,Shantanu Pal
Introduction to the Minitrack on Security and Privacy Challenges for Healthcare,,2021,Au Vo
Security Enhanced RFID Authentication Protocols for Healthcare Environment,,2021,"Shaohao Xie, Fangguo Zhang, Rong Cheng"
Security of Healthcare Data Using Blockchains: A Survey,,2021,"Mayank Pandey, Rachit Agarwal, Sandeep K. Shukla, Nishchal K. Verma"
Thinking Out of the Blocks: Holochain for Distributed Security in IoT Healthcare,,2021,"Shakila Zaman, Muhammad R. A. Khandaker, Risala T. Khan, Faisal Tariq, Kai-Kit Wong"
Unified Computational Modelling for Healthcare Device Security Assessment,,2021,Shakeel Ahmed
A secure blockchain-based e-health records storage and sharing scheme,Sep,2020,Salman Shamshad; Minahil; Chien-Ming Chen
A privacy protection method for health care big data management based on risk access control.,Sep,2020,
An Authentic-Based Privacy Preservation Protocol for Smart e-Healthcare Systems in IoT,Sep,2020,"Shi, Mingyue; Jiang, Rong; Hu, Xiaohan; Shang, Jingwei"
Anomaly Detection in IoT Network by using Multi-class Adaptive Boosting Classifier,Sep,2020,"Dash, Pandit Byomakesha; Rao, K. Srinivasa"
Controlled alternate quantum walks based privacy preserving healthcare images in Internet of Things,Sep,2020,"AlMarzooqi, Fatima Mohamed; Moonesar, Immanuel Azaad; AlQutob, Raeda"
Deep Combination of Stylometry Features in Forensic Authorship Analysis,Sep,2020,"Canbay, Pelin; Sezer, Ebru Akcapinar; Sever, Hayri"
Healthcare Professional and User Perceptions of eHealth Data and Record Privacy in Dubai,Sep,2020,
hOCBS: A privacy-preserving blockchain framework for healthcare data leveraging an on-chain and off-chain system design,Sep,2020,"Dhagarra, Devendra; Goswami, Mohit; Kumar, Gopal"
Impact of Trust and Privacy Concerns on Technology Acceptance in Healthcare: An Indian Perspective,Sep,2020,
Privacy preservation of electronic health records with adversarial attacks identification in hybrid cloud,Oct,2020,"Kanwal, Tehsin; Anjum, Adeel; Malik, Saif U.R.; Khan, Abid; Khan, Muazzam A"
Privacy-preserving fully anonymous ciphertext policy attribute-based broadcast encryption with constant-size secret keys and fast decryption,Oct,2020,Mriganka Mandal
The impact of electronic medical record system implementation on HCV screening and continuum of care: a systematic review,Oct,2020,"Barter, Lauren; Cooper, Curtis L"
A privacy protection method for health care big data management based on risk access control.,Nov,2020,"Peters, Iliana L"
Healthcare Professional and User Perceptions of eHealth Data and Record Privacy in Dubai,Nov,2020,"Princi, Evgenia; Kra[currency]mer, Nicole C"
"The Effect of Security, Privacy, Familiarity, and Trust on Users’ Attitudes Toward the Use of the IoT-Based Healthcare: The Mediation Role of Risk Perception",Nov,2020,"Zhang, Q; Zhang, Y; Li, C; Yan, C; Duan, Y; Wang, H"
